date,countryCode,hS10Code,censusUOMId1,censusUOMId2,fasConvertedUOMId,fasNonConvertedUOMId,quantity1,quantity2,value,mes_origen,year
199808,CA,0203192000,47,47,70,70,1025075.0,0.0,2096829.0,8,1998
199808,CA,0203292000,47,47,70,70,43239.0,0.0,165506.0,8,1998
199808,CA,0203294000,47,47,70,70,853184.0,0.0,1554713.0,8,1998
199809,CA,0203121000,47,47,70,70,71596.0,0.0,169599.0,9,1998
199809,CA,0203192000,47,47,70,70,1425213.0,0.0,2805629.0,9,1998
199809,CA,0203229000,47,47,70,70,20381.0,0.0,39626.0,9,1998
199809,CA,0203292000,47,47,70,70,8316.0,0.0,30950.0,9,1998
199809,CA,0203294000,47,47,70,70,1075138.0,0.0,1920282.0,9,1998
199810,CA,0203121000,47,47,70,70,16707.0,0.0,58824.0,10,1998
199810,CA,0203192000,47,47,70,70,722545.0,0.0,1797657.0,10,1998
199810,CA,0203229000,47,47,70,70,10876.0,0.0,21404.0,10,1998
199810,CA,0203292000,47,47,70,70,13053.0,0.0,56127.0,10,1998
199810,CA,0203294000,47,47,70,70,832152.0,0.0,1836284.0,10,1998
199811,CA,0203121000,47,47,70,70,271062.0,0.0,876887.0,11,1998
199811,CA,0203192000,47,47,70,70,822819.0,0.0,2092913.0,11,1998
199811,CA,0203229000,47,47,70,70,41362.0,0.0,81197.0,11,1998
199811,CA,0203292000,47,47,70,70,1370.0,0.0,3506.0,11,1998
199811,CA,0203294000,47,47,70,70,969299.0,0.0,1988120.0,11,1998
199812,CA,0203121000,47,47,70,70,237436.0,0.0,629013.0,12,1998
199812,CA,0203192000,47,47,70,70,1125822.0,0.0,2545599.0,12,1998
199812,CA,0203229000,47,47,70,70,38941.0,0.0,79733.0,12,1998
199812,CA,0203292000,47,47,70,70,3921.0,0.0,15846.0,12,1998
199812,CA,0203294000,47,47,70,70,946160.0,0.0,1550894.0,12,1998
199901,CA,0203121000,47,47,70,70,169683.0,0.0,513281.0,1,1999
199901,CA,0203192000,47,47,70,70,735008.0,0.0,1674366.0,1,1999
199901,CA,0203229000,47,47,70,70,13477.0,0.0,28219.0,1,1999
199901,CA,0203292000,47,47,70,70,17959.0,0.0,70274.0,1,1999
199901,CA,0203294000,47,47,70,70,1036920.0,0.0,2061547.0,1,1999
199902,CA,0203121000,47,47,70,70,180177.0,0.0,384445.0,2,1999
199902,CA,0203192000,47,47,70,70,1031424.0,0.0,2636357.0,2,1999
199902,CA,0203229000,47,47,70,70,3727.0,0.0,8113.0,2,1999
199902,CA,0203292000,47,47,70,70,2086.0,0.0,10841.0,2,1999
199902,CA,0203294000,47,47,70,70,1115648.0,0.0,2115985.0,2,1999
199903,CA,0203121000,47,47,70,70,85134.0,0.0,214444.0,3,1999
199903,CA,0203192000,47,47,70,70,840320.0,0.0,2058937.0,3,1999
199903,CA,0203229000,47,47,70,70,6961.0,0.0,15007.0,3,1999
199903,CA,0203292000,47,47,70,70,2826.0,0.0,5246.0,3,1999
199903,CA,0203294000,47,47,70,70,993222.0,0.0,1984839.0,3,1999
199904,CA,0203121000,47,47,70,70,199151.0,0.0,430859.0,4,1999
199904,CA,0203192000,47,47,70,70,1454795.0,0.0,2919395.0,4,1999
199904,CA,0203229000,47,47,70,70,4233.0,0.0,9714.0,4,1999
199904,CA,0203292000,47,47,70,70,7928.0,0.0,37337.0,4,1999
199904,CA,0203294000,47,47,70,70,1106032.0,0.0,1962729.0,4,1999
199905,CA,0203121000,47,47,70,70,112664.0,0.0,223488.0,5,1999
199905,CA,0203192000,47,47,70,70,1450105.0,0.0,2466730.0,5,1999
199905,CA,0203229000,47,47,70,70,11759.0,0.0,20277.0,5,1999
199905,CA,0203292000,47,47,70,70,32261.0,0.0,109467.0,5,1999
199905,CA,0203294000,47,47,70,70,1154842.0,0.0,2036965.0,5,1999
199906,CA,0203110000,47,47,70,70,15113.0,0.0,18780.0,6,1999
199906,CA,0203121000,47,47,70,70,83172.0,0.0,251256.0,6,1999
199906,CA,0203192000,47,47,70,70,1352415.0,0.0,2419487.0,6,1999
199906,CA,0203292000,47,47,70,70,1388.0,0.0,3559.0,6,1999
199906,CA,0203294000,47,47,70,70,1065855.0,0.0,1990009.0,6,1999
199907,CA,0203121000,47,47,70,70,25595.0,0.0,73915.0,7,1999
199907,CA,0203192000,47,47,70,70,1643571.0,0.0,2989134.0,7,1999
199907,CA,0203229000,47,47,70,70,10085.0,0.0,17872.0,7,1999
199907,CA,0203292000,47,47,70,70,27281.0,0.0,117249.0,7,1999
199907,CA,0203294000,47,47,70,70,1247891.0,0.0,2283902.0,7,1999
199908,CA,0203121000,47,47,70,70,107878.0,0.0,201435.0,8,1999
199908,CA,0203192000,47,47,70,70,1041097.0,0.0,2357933.0,8,1999
199908,CA,0203229000,47,47,70,70,28948.0,0.0,51136.0,8,1999
199908,CA,0203292000,47,47,70,70,11547.0,0.0,23640.0,8,1999
199908,CA,0203294000,47,47,70,70,820527.0,0.0,1682554.0,8,1999
199909,CA,0203121000,47,47,70,70,404856.0,0.0,663131.0,9,1999
199909,CA,0203192000,47,47,70,70,1508766.0,0.0,3211958.0,9,1999
199909,CA,0203229000,47,47,70,70,32999.0,0.0,53522.0,9,1999
199909,CA,0203292000,47,47,70,70,21832.0,0.0,91428.0,9,1999
199909,CA,0203294000,47,47,70,70,751319.0,0.0,1557541.0,9,1999
199910,CA,0203121000,47,47,70,70,378811.0,0.0,696916.0,10,1999
199910,CA,0203192000,47,47,70,70,1017293.0,0.0,2390366.0,10,1999
199910,CA,0203229000,47,47,70,70,82355.0,0.0,170771.0,10,1999
199910,CA,0203292000,47,47,70,70,80927.0,0.0,243538.0,10,1999
199910,CA,0203294000,47,47,70,70,695224.0,0.0,1484649.0,10,1999
199911,CA,0203121000,47,47,70,70,508261.0,0.0,882163.0,11,1999
199911,CA,0203192000,47,47,70,70,1295819.0,0.0,2983632.0,11,1999
199911,CA,0203229000,47,47,70,70,260200.0,0.0,436129.0,11,1999
199911,CA,0203292000,47,47,70,70,21079.0,0.0,85100.0,11,1999
199911,CA,0203294000,47,47,70,70,844242.0,0.0,1677608.0,11,1999
199912,CA,0203121000,47,47,70,70,553423.0,0.0,851675.0,12,1999
199912,CA,0203192000,47,47,70,70,886568.0,0.0,2052195.0,12,1999
199912,CA,0203229000,47,47,70,70,244706.0,0.0,388119.0,12,1999
